Sampling date,Transect ID,Plot ID,Transect-Plot ID,Latitude of the exact sampling point,Longitude of the exact sampling point,Point measurement exactly at the sampling point: Speies of the plant,Point measurement exactly at the sampling point: maximum height of the plant (cm),Measurement inside one-meter radius around the sampling point: Median live gorse height (cm),Measurement inside one-meter radius around the sampling point: Live gorse percent cover (%),Measurement inside one-meter radius around the sampling point: Other species1 - name,Measurement inside one-meter radius around the sampling point: Median other species1 - height,Measurement inside one-meter radius around the sampling point: Other species1 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species2 - name,Measurement inside one-meter radius around the sampling point: Median other species2 - height,Measurement inside one-meter radius around the sampling point: Other species2 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species3 - name,Measurement inside one-meter radius around the sampling point: Median other species3 - height,Measurement inside one-meter radius around the sampling point: Other species3 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species4 - name,Measurement inside one-meter radius around the sampling point: Median other species4 - height,Measurement inside one-meter radius around the sampling point: Other species4 - percent cover (%),Measurement inside one-meter radius around the sampling point: Median grass height (cm),Measurement inside one-meter radius around the sampling point: Grass percent cover (%),Measurement inside one-meter radius around the sampling point: Moss percent cover (%),Measurement inside one-meter radius around the sampling point: Litter percetn cover (%),Measurement inside one-meter radius around the sampling point: Bare earth percent cover (%),Measurement inside one-meter radius around the sampling point: Median dead gorse height (cm),Measurement inside one-meter radius around the sampling point: Dead gorse percent cover (5),Measurement inside one-meter radius around the sampling point: Median of all gorse (live and dead combined) height,Measurement inside one-meter radius around the sampling point: All gorse (live and dead combined) percent cover
DATE,TRANSECT,PLOT,ID,LAT,LONG,PT.SP,PT.HT,LGORSE.HT,LGORSE.PERC,OTHER1.SP,OTHER1.HT,OTHER1.PERC,OTHER2.SP,OTHER2.HT,OTHER2.PERC,OTHER3.SP,OTHER3.HT,OTHER3.PERC,OTHER4.SP,OTHER4.HT,OTHER4.PERC,GRASS.HT,GRASS.PERC,MOSS.PERC,LITTER.PERC,BE.PERC,DGORSE.HT,DGORSE.PERC,GORSE.HT,GORSE.PERC
19/07/2018,T7,14,T7-p14,-43.40936289,171.5651056,dead gorse,44,52,35,dead gorse,50,10,madagari,38,2,NA,NA,NA,NA,NA,NA,4,25,20,50,NA,50,10,51.55555556,45
19/07/2018,T7,15,T7-p15,-43.40970336,171.5655015,dead gorse,24,48,45,dead gorse,41,30,madagari,50,2,NA,NA,NA,NA,NA,NA,5,20,NA,80,NA,41,30,45.2,75
19/07/2018,T7,16,T7-p16,-43.41003015,171.5659188,moss,0.1,18,2,dead gorse,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,75,5,NA,22,2,20,4
19/07/2018,T7,17,T7-p17,-43.41035072,171.5663388,gorse,152,130,20,dead gorse,83,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,NA,50,NA,83,25,103.8888889,45
19/07/2018,T7,18,T7-p18,-43.41066828,171.5667639,gorse,73,93,40,dead gorse,66,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,98,NA,66,40,79.5,80
19/07/2018,T7,19,T7-p19,-43.41101977,171.5671339,grass,24,45,10,dead gorse,30,10,madagari,56,2,NA,NA,NA,NA,NA,NA,12,75,NA,5,NA,30,10,37.5,20
19/07/2018,T7,20,T7-p20,-43.41134955,171.5675464,litter,17,98,45,dead gorse,86,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,40,NA,40,10,86,25,93.71428571,70
19/07/2018,T7,21,T7-p21,-43.41167296,171.5679579,gorse,74,42,5,dead gorse,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,95,NA,5,NA,38,10,39.33333333,15
19/07/2018,T7,22,T7-p22,-43.41201813,171.5683513,grass,5,16,2,dead gorse,14,4,madagari,19,1,NA,NA,NA,NA,NA,NA,9,100,NA,NA,NA,14,4,14.66666667,6
19/07/2018,T7,23,T7-p23,-43.41235478,171.5687451,gorse,17,31,10,dead gorse,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,15,30,5,21,15,25,25
19/07/2018,T7,24,T7-p24,-43.41267849,171.56917,dead gorse,26,70,10,dead gorse,48,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,40,NA,60,NA,48,30,53.5,40
19/07/2018,T7,25,T7-p25,-43.41300803,171.5695686,dead gorse,55,35,1,dead gorse,122,40,myrsine,24,1,NA,NA,NA,NA,NA,NA,24,10,NA,90,NA,122,40,119.8780488,41
19/07/2018,T7,26,T7-p26,-43.41335057,171.5699669,dead gorse,75,73,10,dead gorse,54,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,NA,95,NA,54,65,56.53333333,75
19/07/2018,T7,27,T7-p27,-43.41369818,171.5703453,gorse,105,123,45,dead gorse,89,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,55,NA,45,NA,89,25,110.8571429,70
19/07/2018,T7,28,T7-p28,-43.41401665,171.5707625,dead gorse,39,32,5,dead gorse,43,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,90,NA,10,NA,43,10,39.33333333,15
19/07/2018,T7,29,T7-p29,-43.41428583,171.571255,lupin,96,126,20,dead gorse,89,10,lupin,94,25,NA,NA,NA,NA,NA,NA,29,90,NA,10,NA,89,10,113.6666667,30
19/07/2018,T7,30,T7-p30,-43.41461685,171.5716532,BE,0,0.1,1,dead gorse,NA,NA,lupin,24,1,NA,NA,NA,NA,NA,NA,3,5,NA,NA,95,NA,NA,NA,NA
19/07/2018,T7,31,T7-p31,-43.41495475,171.572045,gorse,44,72,35,dead gorse,66,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,95,NA,5,NA,66,15,70.2,50
19/07/2018,T7,32,T7-p32,-43.41526762,171.5724811,gorse,118,142,85,dead gorse,82,10,cop pro,117,5,NA,NA,NA,NA,NA,NA,10,5,NA,90,NA,82,10,135.6842105,95
19/07/2018,T8,1,T8-p1,-43.41539193,171.5716877,dead gorse,141,114,5,dead gorse,132,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,10,NA,90,NA,132,85,131,90
19/07/2018,T8,2,T8-p2,-43.41507396,171.571258,gorse,174,169,85,dead gorse,122,15,blackberry,109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,122,15,161.95,100
19/07/2018,T8,3,T8-p3,-43.4147268,171.5708956,gorse,142,170,85,dead gorse,143,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,95,NA,143,10,167.1578947,95
19/07/2018,T8,4,T8-p4,-43.41439633,171.5704862,gorse,63,127,35,dead gorse,95,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,98,NA,95,55,107.4444444,90
19/07/2018,T8,5,T8-p5,-43.4140839,171.570036,gorse,117,119,65,dead gorse,102,10,lupin,104,5,NA,NA,NA,NA,NA,NA,16,70,NA,30,NA,102,10,116.7333333,75
19/07/2018,T8,6,T8-p6,-43.41372571,171.5696798,gorse,41,77,15,dead gorse,59,10,lupin,68,3,NA,NA,NA,NA,NA,NA,26,95,NA,5,NA,59,10,69.8,25
19/07/2018,T8,7,T8-p7,-43.4133893,171.5692651,gorse,119,102,90,dead gorse,79,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,79,8,100.122449,98
19/07/2018,T8,8,T8-p8,-43.41306149,171.5688402,gorse,59,39,15,dead gorse,54,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,85,NA,15,NA,54,20,47.57142857,35
19/07/2018,T8,9,T8-p9,-43.41273304,171.5684077,gorse,48,112,35,dead gorse,85,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,85,60,94.94736842,95
19/07/2018,T8,10,T8-p10,-43.41243418,171.5679697,gorse,122,119,85,dead gorse,98,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,98,5,117.8333333,90
19/07/2018,T8,11,T8-p11,-43.41210783,171.5675621,gorse,49,69,15,dead gorse,46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,95,NA,5,NA,46,10,59.8,25
19/07/2018,T8,12,T8-p12,-43.41176907,171.5671622,moss,0.1,44,8,dead gorse,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,15,10,NA,32,4,40,12
19/07/2018,T8,13,T8-p13,-43.41142223,171.5667756,dead gorse,26,66,25,dead gorse,49,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,20,NA,80,NA,49,20,58.44444444,45
19/07/2018,T8,14,T8-p14,-43.41103774,171.5664671,gorse,207,196,85,dead gorse,136,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,NA,85,NA,136,10,189.6842105,95
19/07/2018,T8,15,T8-p15,-43.41079441,171.5660071,grass,42,100,10,dead gorse,64,25,loprosma,101,5,NA,NA,NA,NA,NA,NA,14,75,NA,25,NA,64,25,74.28571429,35
19/07/2018,T8,16,T8-p16,-43.41050885,171.5655691,dead gorse,125,84,25,dead gorse,97,20,madagari,113,5,NA,NA,NA,NA,NA,NA,12,90,NA,10,NA,97,20,89.77777778,45
19/07/2018,T8,17,T8-p17,-43.41014666,171.5652049,dead gorse,136,144,70,dead gorse,119,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,119,15,139.5882353,85
19/07/2018,T8,18,T8-p18,-43.40985001,171.5647513,gorse,128,114,25,dead gorse,88,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,10,NA,88,35,98.83333333,60
19/07/2018,T8,19,T8-p19,-43.40953057,171.56435,grass,14,85,2,dead gorse,68,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,3,NA,68,6,72.25,8
19/07/2018,T8,20,T8-p20,-43.40918195,171.5639669,gorse,65,70,35,dead gorse,48,10,madagari,52,10,NA,NA,NA,NA,NA,NA,9,60,NA,40,NA,48,10,65.11111111,45
19/07/2018,T8,21,T8-p21,-43.40883154,171.5635769,gorse,37,73,50,dead gorse,62,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,50,NA,50,NA,62,15,70.46153846,65
19/07/2018,T8,22,T8-p22,-43.40851638,171.5631424,dead gorse,76,64,35,dead gorse,86,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,5,30,NA,86,30,74.15384615,65
19/07/2018,T8,23,T8-p23,-43.40819636,171.5627263,moss,0.1,23,5,dead gorse,24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,50,20,NA,30,24,5,23.5,10
19/07/2018,T8,24,T8-p24,-43.40785103,171.5623371,gorse,82,102,65,dead gorse,78,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,80,NA,10,NA,78,10,98.8,75
19/07/2018,T8,25,T8-p25,-43.40752754,171.5619078,gorse,60,89,40,dead gorse,74,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,95,NA,5,NA,74,10,86,50
19/07/2018,T8,26,T8-p26,-43.40719645,171.5614923,gorse,32,28,40,dead gorse,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,55,5,40,NA,21,15,26.09090909,55
19/07/2018,T8,27,T8-p27,-43.40684322,171.5611186,gorse,29,68,40,dead gorse,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,90,NA,10,NA,38,10,62,50
19/07/2018,T8,28,T8-p28,-43.40649658,171.5607389,moss,0.1,33,8,dead gorse,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,95,4,1,NA,22,4,29.33333333,12
